RSE - 0020.png: 0.4348, num_target: 45.0000, num_group: 10.0000
Time - 0020.png: 1.3825, num_target: 45.0000, num_group: 10.0000
PSNR - 0020.png: 17.9617, num_target: 45.0000, num_group: 15.0000
RSE - 0020.png: 0.3104, num_target: 45.0000, num_group: 15.0000
Time - 0020.png: 2.2610, num_target: 45.0000, num_group: 15.0000
PSNR - 0020.png: 19.5090, num_target: 45.0000, num_group: 20.0000
RSE - 0020.png: 0.2597, num_target: 45.0000, num_group: 20.0000
Time - 0020.png: 3.1092, num_target: 45.0000, num_group: 20.0000
PSNR - 0020.png: 20.5280, num_target: 45.0000, num_group: 25.0000
RSE - 0020.png: 0.2310, num_target: 45.0000, num_group: 25.0000
Time - 0020.png: 4.8720, num_target: 45.0000, num_group: 25.0000
PSNR - 0020.png: 18.2987, num_target: 45.0000, num_group: 30.0000
RSE - 0020.png: 0.2985, num_target: 45.0000, num_group: 30.0000
Time - 0020.png: 6.1225, num_target: 45.0000, num_group: 30.0000
PSNR - 0020.png: 22.6195, num_target: 45.0000, num_group: 35.0000
RSE - 0020.png: 0.1815, num_target: 45.0000, num_group: 35.0000
Time - 0020.png: 9.3831, num_target: 45.0000, num_group: 35.0000
PSNR - 0020.png: 20.5893, num_target: 45.0000, num_group: 40.0000
RSE - 0020.png: 0.2293, num_target: 45.0000, num_group: 40.0000
Time - 0020.png: 8.1300, num_target: 45.0000, num_group: 40.0000
PSNR - 0020.png: 15.5963, num_target: 45.0000, num_group: 45.0000
RSE - 0020.png: 0.4075, num_target: 45.0000, num_group: 45.0000
Time - 0020.png: 12.0505, num_target: 45.0000, num_group: 45.0000
PSNR - 0020.png: 23.8193, num_target: 45.0000, num_group: 50.0000
RSE - 0020.png: 0.1581, num_target: 45.0000, num_group: 50.0000
Time - 0020.png: 13.5881, num_target: 45.0000, num_group: 50.0000
PSNR - 0020.png: 15.3295, num_target: 50.0000, num_group: 10.0000
RSE - 0020.png: 0.4202, num_target: 50.0000, num_group: 10.0000
Time - 0020.png: 1.3506, num_target: 50.0000, num_group: 10.0000
PSNR - 0020.png: 13.9491, num_target: 50.0000, num_group: 15.0000
RSE - 0020.png: 0.4926, num_target: 50.0000, num_group: 15.0000
Time - 0020.png: 2.2360, num_target: 50.0000, num_group: 15.0000
PSNR - 0020.png: 19.2691, num_target: 50.0000, num_group: 20.0000
RSE - 0020.png: 0.2670, num_target: 50.0000, num_group: 20.0000
Time - 0020.png: 3.0718, num_target: 50.0000, num_group: 20.0000
PSNR - 0020.png: 20.0419, num_target: 50.0000, num_group: 25.0000
RSE - 0020.png: 0.2443, num_target: 50.0000, num_group: 25.0000
Time - 0020.png: 4.3323, num_target: 50.0000, num_group: 25.0000
PSNR - 0020.png: 19.2924, num_target: 50.0000, num_group: 30.0000
RSE - 0020.png: 0.2663, num_target: 50.0000, num_group: 30.0000
Time - 0020.png: 5.5968, num_target: 50.0000, num_group: 30.0000
