PSNR - 0000.png: 13.7144, num_target: 30.0000, num_group: 30.0000
RSE - 0000.png: 0.2971, num_target: 30.0000, num_group: 30.0000
Time - 0000.png: 2.0111, num_target: 30.0000, num_group: 30.0000
PSNR - 0000.png: 12.5154, num_target: 30.0000, num_group: 35.0000
RSE - 0000.png: 0.3411, num_target: 30.0000, num_group: 35.0000
Time - 0000.png: 2.9702, num_target: 30.0000, num_group: 35.0000
PSNR - 0000.png: 14.9162, num_target: 30.0000, num_group: 40.0000
RSE - 0000.png: 0.2587, num_target: 30.0000, num_group: 40.0000
Time - 0000.png: 3.6769, num_target: 30.0000, num_group: 40.0000
PSNR - 0000.png: 16.2934, num_target: 30.0000, num_group: 45.0000
RSE - 0000.png: 0.2208, num_target: 30.0000, num_group: 45.0000
Time - 0000.png: 4.1486, num_target: 30.0000, num_group: 45.0000
PSNR - 0000.png: 15.6888, num_target: 30.0000, num_group: 50.0000
RSE - 0000.png: 0.2367, num_target: 30.0000, num_group: 50.0000
Time - 0000.png: 4.7307, num_target: 30.0000, num_group: 50.0000
PSNR - 0000.png: 7.5114, num_target: 35.0000, num_group: 10.0000
RSE - 0000.png: 0.6069, num_target: 35.0000, num_group: 10.0000
Time - 0000.png: 0.6044, num_target: 35.0000, num_group: 10.0000
PSNR - 0000.png: 13.4343, num_target: 35.0000, num_group: 15.0000
RSE - 0000.png: 0.3069, num_target: 35.0000, num_group: 15.0000
Time - 0000.png: 0.7475, num_target: 35.0000, num_group: 15.0000
PSNR - 0000.png: 14.1229, num_target: 35.0000, num_group: 20.0000
RSE - 0000.png: 0.2835, num_target: 35.0000, num_group: 20.0000
Time - 0000.png: 1.1047, num_target: 35.0000, num_group: 20.0000
PSNR - 0000.png: 15.0614, num_target: 35.0000, num_group: 25.0000
RSE - 0000.png: 0.2545, num_target: 35.0000, num_group: 25.0000
Time - 0000.png: 1.9731, num_target: 35.0000, num_group: 25.0000
PSNR - 0000.png: 13.8296, num_target: 35.0000, num_group: 30.0000
RSE - 0000.png: 0.2932, num_target: 35.0000, num_group: 30.0000
Time - 0000.png: 2.0526, num_target: 35.0000, num_group: 30.0000
PSNR - 0000.png: 16.7621, num_target: 35.0000, num_group: 35.0000
RSE - 0000.png: 0.2092, num_target: 35.0000, num_group: 35.0000
Time - 0000.png: 2.7839, num_target: 35.0000, num_group: 35.0000
PSNR - 0000.png: 19.7534, num_target: 35.0000, num_group: 40.0000
RSE - 0000.png: 0.1483, num_target: 35.0000, num_group: 40.0000
Time - 0000.png: 3.8735, num_target: 35.0000, num_group: 40.0000
PSNR - 0000.png: 18.2697, num_target: 35.0000, num_group: 45.0000
RSE - 0000.png: 0.1759, num_target: 35.0000, num_group: 45.0000
Time - 0000.png: 4.2908, num_target: 35.0000, num_group: 45.0000
PSNR - 0000.png: 17.8837, num_target: 35.0000, num_group: 50.0000
RSE - 0000.png: 0.1839, num_target: 35.0000, num_group: 50.0000
Time - 0000.png: 4.6200, num_target: 35.0000, num_group: 50.0000
PSNR - 0000.png: 9.5528, num_target: 40.0000, num_group: 10.0000
RSE - 0000.png: 0.4798, num_target: 40.0000, num_group: 10.0000
Time - 0000.png: 0.4954, num_target: 40.0000, num_group: 10.0000
PSNR - 0000.png: 10.8918, num_target: 40.0000, num_group: 15.0000
RSE - 0000.png: 0.4112, num_target: 40.0000, num_group: 15.0000
Time - 0000.png: 0.7667, num_target: 40.0000, num_group: 15.0000
PSNR - 0000.png: 15.0562, num_target: 40.0000, num_group: 20.0000
RSE - 0000.png: 0.2546, num_target: 40.0000, num_group: 20.0000
Time - 0000.png: 1.1007, num_target: 40.0000, num_group: 20.0000
PSNR - 0000.png: 15.6425, num_target: 40.0000, num_group: 25.0000
RSE - 0000.png: 0.2380, num_target: 40.0000, num_group: 25.0000
Time - 0000.png: 1.6275, num_target: 40.0000, num_group: 25.0000
PSNR - 0000.png: 17.4724, num_target: 40.0000, num_group: 30.0000
RSE - 0000.png: 0.1928, num_target: 40.0000, num_group: 30.0000
Time - 0000.png: 2.1330, num_target: 40.0000, num_group: 30.0000
PSNR - 0000.png: 15.7355, num_target: 40.0000, num_group: 35.0000
RSE - 0000.png: 0.2354, num_target: 40.0000, num_group: 35.0000
Time - 0000.png: 2.8282, num_target: 40.0000, num_group: 35.0000
PSNR - 0000.png: 19.0610, num_target: 40.0000, num_group: 40.0000
RSE - 0000.png: 0.1606, num_target: 40.0000, num_group: 40.0000
Time - 0000.png: 3.4964, num_target: 40.0000, num_group: 40.0000
PSNR - 0000.png: 22.9596, num_target: 40.0000, num_group: 45.0000
RSE - 0000.png: 0.1025, num_target: 40.0000, num_group: 45.0000
Time - 0000.png: 4.0746, num_target: 40.0000, num_group: 45.0000
PSNR - 0000.png: 19.9664, num_target: 40.0000, num_group: 50.0000
RSE - 0000.png: 0.1447, num_target: 40.0000, num_group: 50.0000
Time - 0000.png: 4.9453, num_target: 40.0000, num_group: 50.0000
PSNR - 0000.png: 12.0379, num_target: 45.0000, num_group: 10.0000
RSE - 0000.png: 0.3604, num_target: 45.0000, num_group: 10.0000
Time - 0000.png: 0.5439, num_target: 45.0000, num_group: 10.0000
PSNR - 0000.png: 14.0039, num_target: 45.0000, num_group: 15.0000
RSE - 0000.png: 0.2874, num_target: 45.0000, num_group: 15.0000
