PSNR - 0000.png: 17.3478, num_target: 40.0000, num_group: 25.0000
RSE - 0000.png: 0.1956, num_target: 40.0000, num_group: 25.0000
Time - 0000.png: 4.8160, num_target: 40.0000, num_group: 25.0000
PSNR - 0000.png: 17.2478, num_target: 40.0000, num_group: 30.0000
RSE - 0000.png: 0.1978, num_target: 40.0000, num_group: 30.0000
Time - 0000.png: 7.3863, num_target: 40.0000, num_group: 30.0000
PSNR - 0000.png: 17.7816, num_target: 40.0000, num_group: 35.0000
RSE - 0000.png: 0.1860, num_target: 40.0000, num_group: 35.0000
Time - 0000.png: 8.3777, num_target: 40.0000, num_group: 35.0000
PSNR - 0000.png: 15.7105, num_target: 40.0000, num_group: 40.0000
RSE - 0000.png: 0.2361, num_target: 40.0000, num_group: 40.0000
Time - 0000.png: 8.2477, num_target: 40.0000, num_group: 40.0000
PSNR - 0000.png: 17.7176, num_target: 40.0000, num_group: 45.0000
RSE - 0000.png: 0.1874, num_target: 40.0000, num_group: 45.0000
Time - 0000.png: 11.5676, num_target: 40.0000, num_group: 45.0000
PSNR - 0000.png: 25.0125, num_target: 40.0000, num_group: 50.0000
RSE - 0000.png: 0.0809, num_target: 40.0000, num_group: 50.0000
Time - 0000.png: 13.2895, num_target: 40.0000, num_group: 50.0000
PSNR - 0000.png: 12.1264, num_target: 45.0000, num_group: 10.0000
RSE - 0000.png: 0.3567, num_target: 45.0000, num_group: 10.0000
Time - 0000.png: 1.6045, num_target: 45.0000, num_group: 10.0000
PSNR - 0000.png: 14.4089, num_target: 45.0000, num_group: 15.0000
RSE - 0000.png: 0.2743, num_target: 45.0000, num_group: 15.0000
Time - 0000.png: 2.1798, num_target: 45.0000, num_group: 15.0000
PSNR - 0000.png: 14.8834, num_target: 45.0000, num_group: 20.0000
RSE - 0000.png: 0.2597, num_target: 45.0000, num_group: 20.0000
Time - 0000.png: 3.0147, num_target: 45.0000, num_group: 20.0000
PSNR - 0000.png: 16.4091, num_target: 45.0000, num_group: 25.0000
RSE - 0000.png: 0.2179, num_target: 45.0000, num_group: 25.0000
Time - 0000.png: 4.2424, num_target: 45.0000, num_group: 25.0000
PSNR - 0000.png: 19.9842, num_target: 45.0000, num_group: 30.0000
RSE - 0000.png: 0.1444, num_target: 45.0000, num_group: 30.0000
Time - 0000.png: 5.4627, num_target: 45.0000, num_group: 30.0000
PSNR - 0000.png: 20.6588, num_target: 45.0000, num_group: 35.0000
RSE - 0000.png: 0.1336, num_target: 45.0000, num_group: 35.0000
Time - 0000.png: 7.3545, num_target: 45.0000, num_group: 35.0000
PSNR - 0000.png: 18.6858, num_target: 45.0000, num_group: 40.0000
RSE - 0000.png: 0.1676, num_target: 45.0000, num_group: 40.0000
Time - 0000.png: 8.2593, num_target: 45.0000, num_group: 40.0000
PSNR - 0000.png: 20.4773, num_target: 45.0000, num_group: 45.0000
RSE - 0000.png: 0.1364, num_target: 45.0000, num_group: 45.0000
